id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,26149964189,Premier State Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,71619450841,PremierNational Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,36617864347,Primary Communication Partners,2019-11-01,
urn:lobbyists.ag.gov.au:47139102891,47139102891,CPI Strategic Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:63103178258,63103178258,Res Publica Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:65619296552,65619296552,Origami PR Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:86090759032,86090759032,Sefiani Communications Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:11007120881,11007120881,G.E.M. Management Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:35441514971,35441514971,The Trustee for Jackman Family Trust,2019-11-01,
urn:lobbyists.ag.gov.au:62632061226,62632061226,Public Affairs and Campaigns Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:37030229072,37030229072,Geoff Conlon,2019-11-01,
urn:lobbyists.ag.gov.au:74085739046,74085739046,Fowlstone Communications,2019-11-01,
urn:lobbyists.ag.gov.au:30624548429,30624548429,Health Communincations Australia Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:49622979177,49622979177,Media and Public Affairs ,2019-11-01,
urn:lobbyists.ag.gov.au:11608882971,11608882971,Lucid Health Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:31095619686,31095619686,Emerald Corporate Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:46071979461,46071979461,FTI Consulting (Perth) Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:45517839200,45517839200,McGuinness Media,2019-11-01,
urn:lobbyists.ag.gov.au:58101934454,58101934454,Crosby Textor Research Strategies Results Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:13099902459,13099902459,Visionary  Enterprising Management Services Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,65140067287,Barton Deakin ,2019-11-01,
urn:lobbyists.ag.gov.au:14613519770,14613519770,KIG Energy Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:85131323352,85131323352,BTelecom Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:90116598924,90116598924,Statecraft,2019-11-01,
urn:lobbyists.ag.gov.au:41317956923,41317956923,GIMC Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:98760171792,98760171792,The Holland Trust,2019-11-01,
