number,id,CODE,name,province,state,long,lat,dc,type,lastUpdate,sa3,sa3name,sa4,sa4name,region
19989,urn:australiapost.com.au:postcode:822_BYNOEHARBOUR,822,BYNOE HARBOUR,urn:iso:std:iso:3166:-2:AU-NT,NT,130.5103483,-12.62538633,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19990,urn:australiapost.com.au:postcode:822_CAMPCREEK,822,CAMP CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9320173,-13.17350435,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19991,urn:australiapost.com.au:postcode:822_CHANNELISLAND,822,CHANNEL ISLAND,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8605303,-12.55219169,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19992,urn:australiapost.com.au:postcode:822_CHARLESDARWIN,822,CHARLES DARWIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8766339,-12.45079537,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19993,urn:australiapost.com.au:postcode:822_CHARLOTTE,822,CHARLOTTE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8116588,-12.84045347,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19994,urn:australiapost.com.au:postcode:822_CLARAVALE,822,CLARAVALE,urn:iso:std:iso:3166:-2:AU-NT,NT,131.4120025,-14.5318367,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19995,urn:australiapost.com.au:postcode:822_COBOURG,822,COBOURG,urn:iso:std:iso:3166:-2:AU-NT,NT,132.1914189,-11.34530652,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19996,urn:australiapost.com.au:postcode:822_COLLETTCREEK,822,COLLETT CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9188279,-12.90975469,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19997,urn:australiapost.com.au:postcode:822_COOMALIECREEK,822,COOMALIE CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,131.1688363,-13.02119253,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
288,urn:australiapost.com.au:postcode:822_COXPENINSULA,822,COX PENINSULA,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
289,urn:australiapost.com.au:postcode:822_CROKERISLAND,822,CROKER ISLAND,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
290,urn:australiapost.com.au:postcode:822_DALYRIVER,822,DALY RIVER,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
291,urn:australiapost.com.au:postcode:822_DARWINMC,822,DARWIN MC,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19998,urn:australiapost.com.au:postcode:822_DARWINRIVERDAM,822,DARWIN RIVER DAM,urn:iso:std:iso:3166:-2:AU-NT,NT,131.038648,-12.91652424,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19999,urn:australiapost.com.au:postcode:822_DELISSAVILLE,822,DELISSAVILLE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.995425,-12.505532,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20000,urn:australiapost.com.au:postcode:822_DOUGLAS-DALY,822,DOUGLAS-DALY,urn:iso:std:iso:3166:-2:AU-NT,NT,131.48274,-13.81785615,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20001,urn:australiapost.com.au:postcode:822_EASTARM,822,EAST ARM,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9027533,-12.48005564,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20002,urn:australiapost.com.au:postcode:822_EASTARNHEM,822,EAST ARNHEM,urn:iso:std:iso:3166:-2:AU-NT,NT,136.4330338,-12.44602304,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20003,urn:australiapost.com.au:postcode:822_ELRUNDIE,822,ELRUNDIE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.940905,-12.48861681,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20004,urn:australiapost.com.au:postcode:822_EVAVALLEY,822,EVA VALLEY,urn:iso:std:iso:3166:-2:AU-NT,NT,131.0031474,-13.12725377,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20005,urn:australiapost.com.au:postcode:822_FINNISSVALLEY,822,FINNISS VALLEY,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9517827,-13.06448685,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20006,urn:australiapost.com.au:postcode:822_FLYCREEK,822,FLY CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,131.0700157,-12.79587253,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20007,urn:australiapost.com.au:postcode:822_FREDSPASS,822,FREDS PASS,urn:iso:std:iso:3166:-2:AU-NT,NT,131.0515258,-12.53862952,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20008,urn:australiapost.com.au:postcode:822_GALIWINKU,822,GALIWINKU,urn:iso:std:iso:3166:-2:AU-NT,NT,135.5864427,-12.00777086,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
20009,urn:australiapost.com.au:postcode:822_GLYDEPOINT,822,GLYDE POINT,urn:iso:std:iso:3166:-2:AU-NT,NT,131.0799794,-12.17971082,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
