lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:5016081127,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:93104757904,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:11001735191,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:11001735191,2019-11-01,
urn:lobbyists.ag.gov.au:51069838222,represents,urn:abr.business.gov.au:99086014968,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:63020415510,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:46617546488,2019-11-01,
urn:lobbyists.ag.gov.au:80318383423,represents,urn:abr.business.gov.au:75288172749,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:93099503456,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:51000005103,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:51000005103,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,represents,urn:abr.business.gov.au:63598010203,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:20635014756,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:58090000276,2019-11-01,
urn:lobbyists.ag.gov.au:34613546142,represents,urn:abr.business.gov.au:008 550 347,2019-11-01,
urn:lobbyists.ag.gov.au:17620658308,represents,urn:abr.business.gov.au:71616453457,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:71616453457,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:71616453457,2019-11-01,
urn:lobbyists.ag.gov.au:17620658308,represents,urn:abr.business.gov.au:71616453457,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:69617541278,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:69617541278,2019-11-01,
urn:lobbyists.ag.gov.au:23969141298,represents,urn:abr.business.gov.au:39129451716,2019-11-01,
urn:lobbyists.ag.gov.au:39129451716,represents,urn:abr.business.gov.au:64067682044,2019-11-01,
urn:lobbyists.ag.gov.au:81623654839,represents,urn:abr.business.gov.au:95155744120,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,represents,urn:abr.business.gov.au:58631587892,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:90312919698,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:57139624150,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:87000005318,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:87000005318,2019-11-01,
urn:lobbyists.ag.gov.au:26726483358,represents,urn:abr.business.gov.au:49115301838,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:18152098854,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:18152098854,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:52425663385,2019-11-01,
urn:lobbyists.ag.gov.au:41317956923,represents,urn:abr.business.gov.au:81103815809,2019-11-01,
urn:lobbyists.ag.gov.au:65003644657,represents,urn:abr.business.gov.au:50007519646,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:48163821298,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:48163821298,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:37160626102,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:64608004299,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:64608004299,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:93141269016,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:33102417032,2019-11-01,
urn:lobbyists.ag.gov.au:48164583519,represents,urn:abr.business.gov.au:82618093762,2019-11-01,
urn:lobbyists.ag.gov.au:25069333400,represents,urn:abr.business.gov.au:27107426504,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:74129431170,2019-11-01,
urn:lobbyists.ag.gov.au:62613694189,represents,urn:abr.business.gov.au:83398391246,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:44610953878,2019-11-01,
urn:lobbyists.ag.gov.au:22117516090,represents,urn:abr.business.gov.au:21603121740,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:89064268800,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:5706395979,2019-11-01,
urn:lobbyists.ag.gov.au:86610548171,represents,urn:abr.business.gov.au:76630335616,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:44009157439,2019-11-01,
urn:lobbyists.ag.gov.au:27630291348,represents,urn:abr.business.gov.au:27630291348,2019-11-01,
