internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,PDL,Pendal Group Ltd,,,,,,$2.1 B,,
,,NAN,Nanosonics Ltd,,,,,,$2.07 B,,
,,IOO,Ishares Global 100 ETF,,,,,,$2.04 B,,
,,BIN,Bingo Industries Ltd,,,,,,$2.03 B,,
,,DDR,Dicker Data Ltd,,,,,,$2.03 B,,
,,CQR,Charter Hall Retail REIT,,,,,,$2 B,,
-,,WPR,Waypoint REIT,,,,,,$1.95 B,,
,,NSR,National Storage REIT,,,,,,$1.95 B,,
,,ABC,Adbri Ltd,,,,,,$1.94 B,,
,,VEU,Vanguard All-World Ex-US Shares INDEX ETF,,,,,,$1.93 B,,
-,,IRE,Iress Ltd,,,,,,$1.91 B,,
-,,HTA,Hutchison Telecommunications (Australia) Ltd,,,,,,$1.9 B,,
,,PNI,Pinnacle Investment Management Group Ltd,,,,,,$1.88 B,,
,,PPT,Perpetual Ltd,,,,,,$1.85 B,,
,,NUF,Nufarm Ltd,,,,,,$1.78 B,,
,,RRL,Regis Resources Ltd,,,,,,$1.78 B,,
,,HUB,HUB24 Ltd,,,,,,$1.77 B,,
,,KGN,Kogan.com Ltd,,,,,,$1.77 B,,
,,ELD,Elders Ltd,,,,,,$1.77 B,,
,,PPH,Pushpay Holdings Ltd,,,,,,$1.77 B,,
-,,BGA,Bega Cheese Ltd,,,,,,$1.77 B,,
,,INA,Ingenia Communities Group,,,,,,$1.76 B,,
,,VAP,Vanguard Australian Property Securities INDEX ETF,,,,,,$1.76 B,,
-,,CRN,Coronado Global Resources Inc,,,,,,$1.74 B,,
,,RBL,Redbubble Ltd,,,,,,$1.72 B,,
,,CGC,Costa Group Holdings Ltd,,,,,,$1.71 B,,
,,CIP,Centuria Industrial REIT,,,,,,$1.7 B,,
-,,ORE,Orocobre Ltd,,,,,,$1.68 B,,
,,PNV,Polynovo Ltd,,,,,,$1.67 B,,
,,IAF,Ishares Core Composite Bond ETF,,,,,,$1.65 B,,
,,VHY,Vanguard Australian Shares High Yield ETF,,,,,,$1.65 B,,
,,WAM,WAM Capital Ltd,,,,,,$1.64 B,,
,,AIZ,Air New Zealand Ltd,,,,,,$1.63 B,,
,,NDQ,Betashares Nasdaq 100 ETF,,,,,,$1.61 B,,
,,QUAL,Vaneck Vectors MSCI World Ex Australia Quality ETF,,,,,,$1.61 B,,
