internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,FPC,Fat Prophets Global Contrarian Fund Ltd,,,,,,$54.77 M,,
-,,GBZ,GBM Resources Ltd,,,,,,$54.13 M,,
,,WKT,Walkabout Resources Ltd,,,,,,$54.12 M,,
-,,SSL,Sietel Ltd,,,,,,$54.05 M,,
,,BIS,Bisalloy Steel Group Ltd,,,,,,$54.05 M,,
-,,BDA,Bod Australia Ltd,,,,,,$53.97 M,,
,,APW,Aims Property Securities Fund,,,,,,$53.75 M,,
-,,KAI,Kairos Minerals Ltd,,,,,,$53.64 M,,
,,ACR,ACRUX Ltd,,,,,,$53.61 M,,
-,,TOE,Toro Energy Ltd,,,,,,$53.17 M,,
,,14D,1414 Degrees Ltd,,,,,,$53 M,,
-,,WAA,Wam Active Ltd,,,,,,$52.89 M,,
-,,SGQ,ST George Mining Ltd,,,,,,$52.87 M,,
-,,OVT,Ovato Ltd,,,,,,$52.4 M,,
-,,CUE,CUE Energy Resources Ltd,,,,,,$52.36 M,,
-,,DGH,Desane Group Holdings Ltd,,,,,,$51.96 M,,
-,,ANA,Ansila Energy NL,,,,,,$51.77 M,,
,,TMT,Technology Metals Australia Ltd,,,,,,$51.63 M,,
-,,EHH,Eagle Health Holdings Ltd,,,,,,$51.61 M,,
,,SMN,Structural Monitoring Systems Plc,,,,,,$51.54 M,,
-,,AFA,Asf Group Ltd,,,,,,$51.53 M,,
,,GAL,Galileo Mining Ltd,,,,,,$51.52 M,,
,,CGB,Cann Global Ltd,,,,,,$51.39 M,,
,,GRV,Greenvale Mining Ltd,,,,,,$51.21 M,,
,,CV1,CV Check Ltd,,,,,,$51.13 M,,
,,SMLL,Betashares Aust Small Companies Select Fund (Managed Fund),,,,,,$51.1 M,,
-,,AJQ,Armour Energy Ltd,,,,,,$51.03 M,,
,,BCB,Bowen Coking Coal Ltd,,,,,,$50.92 M,,
,,CCZ,Castillo Copper Ltd,,,,,,$50.9 M,,
,,ASP,Aspermont Ltd,,,,,,$50.8 M,,
-,,RAP,Resapp Health Ltd,,,,,,$50.79 M,,
-,,BNL,Blue Star Helium Ltd,,,,,,$50.56 M,,
,,BIT,Biotron Ltd,,,,,,$50.54 M,,
-,,DME,Dome Gold Mines Ltd,,,,,,$50.44 M,,
,,PAF,PM Capital Asian Opportunities Fund Ltd,,,,,,$50.36 M,,
,,KLA,Kirkland Lake Gold Ltd,,,,,,$50.2 M,,
,,IDT,IDT Australia Ltd,,,,,,$50.05 M,,
-,,DTS,Dragontail Systems Ltd,,,,,,$50.05 M,,
-,,MSM,MSM Corporation International Ltd,,,,,,$49.7 M,,
-,,EYE,Nova EYE Medical Ltd,,,,,,$49.57 M,,
,,MTH,Mithril Resources Ltd,,,,,,$49.35 M,,
,,FFG,Fatfish Group Ltd,,,,,,$49.22 M,,
-,,KPC,Kazakhstan Potash Corporation Ltd,,,,,,$48.88 M,,
,,SMX,Security Matters Ltd,,,,,,$48.87 M,,
,,AKM,Aspire Mining Ltd,,,,,,$48.73 M,,
,,VLS,Vita Life Sciences Ltd,,,,,,$48.67 M,,
-,,NUC,Nuchev Ltd,,,,,,$48.66 M,,
-,,SPZ,Smart Parking Ltd,,,,,,$48.49 M,,
,,IXC,INVEX Therapeutics Ltd,,,,,,$48.41 M,,
,,GEV,Global Energy Ventures Ltd,,,,,,$48.37 M,,
,,THC,THC Global Group Ltd,,,,,,$48.31 M,,
,,BOND,SPDR S&P/ASX Australian Bond Fund,,,,,,$48.31 M,,
,,CLB,Candy Club Holdings Ltd,,,,,,$48.28 M,,
,,SRK,Strike Resources Ltd,,,,,,$48.19 M,,
,,BFC,Beston Global Food Company Ltd,,,,,,$47.99 M,,
-,,OEL,Otto Energy Ltd,,,,,,$47.95 M,,
,,RINC,Betashares Legg Mason Real Income Fund (Managed Fund),,,,,,$47.89 M,,
,,ESTX,ETFs Euro STOXX 50 ETF,,,,,,$47.88 M,,
,,AASF,Airlie Australian Share Fund (Managed Fund),,,,,,$47.87 M,,
,,SWK,Swick Mining Services Ltd,,,,,,$47.85 M,,
,,AUR,Auris Minerals Ltd,,,,,,$47.66 M,,
,,POD,Podium Minerals Ltd,,,,,,$47.66 M,,
-,,NSX,NSX Ltd,,,,,,$47.6 M,,
,,PYR,Payright Ltd,,,,,,$47.49 M,,
,,TMZ,Thomson Resources Ltd,,,,,,$47.49 M,,
,,AWN,AWN Holdings Ltd,,,,,,$47.43 M,,
-,,CPV,Clearvue Technologies Ltd,,,,,,$47.24 M,,
,,VEFI,Vanguard Ethically Conscious GLB Agg Bond INDEX (Hedged) ETF,,,,,,$47.08 M,,
-,,PAB,PATRYS Ltd,,,,,,$47.01 M,,
-,,REE,RAREX Ltd,,,,,,$46.99 M,,
-,,AVC,Auctus Investment Group Ltd,,,,,,$46.69 M,,
,,STN,Saturn Metals Ltd,,,,,,$46.64 M,,
-,,KRR,King River Resources Ltd,,,,,,$46.61 M,,
,,CT1,Constellation Technologies Ltd,,,,,,$46.38 M,,
,,EM1,Emerge Gaming Ltd,,,,,,$46.35 M,,
,,VIP,VIP Gloves Ltd,,,,,,$46.24 M,,
-,,NAC,Naos Ex-50 Opportunities Company Ltd,,,,,,$46.24 M,,
-,,SEG,Sports Entertainment Group Ltd,,,,,,$46.22 M,,
-,,ESH,Esports Mogul Ltd,,,,,,$46.03 M,,
,,DCC,Digitalx Ltd,,,,,,$45.82 M,,
,,HFY,Hubify Ltd,,,,,,$45.45 M,,
,,VN8,VONEX Ltd,,,,,,$45.36 M,,
,,RVS,Revasum Inc,,,,,,$45.2 M,,
,,BBL,Brisbane Broncos Ltd,,,,,,$45.1 M,,
,,VBC,Verbrec Ltd,,,,,,$45.01 M,,
-,,ADV,Ardiden Ltd,,,,,,$45 M,,
-,,HRN,Horizon Gold Ltd,,,,,,$44.78 M,,
-,,AGS,Alliance Resources Ltd,,,,,,$44.72 M,,
-,,MCL,Mighty Craft Ltd,,,,,,$44.52 M,,
,,INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund),,,,,,$44.23 M,,
,,EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,,,,,,$44.22 M,,
,,EBND,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund),,,,,,$44.2 M,,
-,,VII,Vietnam Industrial Investments Ltd,,,,,,$44.11 M,,
,,PLY,Playside Studios Ltd,,,,,,$44.01 M,,
,,TFL,Tasfoods Ltd,,,,,,$43.99 M,,
,,XRF,XRF Scientific Ltd,,,,,,$43.73 M,,
,,SGC,Sacgasco Ltd,,,,,,$43.7 M,,
,,MEU,Marmota Ltd,,,,,,$43.58 M,,
,,NAM,Namoi Cotton Ltd,,,,,,$43.57 M,,
,,AKG,Academies Australasia Group Ltd,,,,,,$43.39 M,,
,,EQR,EQ Resources Ltd,,,,,,$43.3 M,,
-,,VRC,Volt Resources Ltd,,,,,,$43.26 M,,
,,PEC,Perpetual Resources Ltd,,,,,,$43.25 M,,
-,,ECL,Excelsior Capital Ltd,,,,,,$43.2 M,,
,,ENR,Encounter Resources Ltd,,,,,,$42.6 M,,
,,PO3,Purifloh Ltd,,,,,,$42.56 M,,
,,COY,Coppermoly Ltd,,,,,,$42.54 M,,
,,HPP,Health and Plant Protein Group Ltd,,,,,,$42.37 M,,
,,CLA,Celsius Resources Ltd,,,,,,$42.25 M,,
,,WRM,White Rock Minerals Ltd,,,,,,$42.17 M,,
,,EAS,Easton Investments Ltd,,,,,,$42.13 M,,
,,CURE,ETFs S&P Biotech ETF,,,,,,$42.11 M,,
,,MKR,Manuka Resources Ltd,,,,,,$42.07 M,,
,,FFT,Future First Technologies Ltd,,,,,,$42.04 M,,
-,,MKAX,Montaka Global Extension Fund (Quoted Managed Hedge Fund),,,,,,$41.97 M,,
,,EDC,Eildon Capital Group,,,,,,$41.96 M,,
-,,TAS,Tasman Resources Ltd,,,,,,$41.56 M,,
-,,VBS,Vectus Biosystems Ltd,,,,,,$41.47 M,,
,,RDH,Redhill Education Ltd,,,,,,$41.19 M,,
-,,MSL,MSL Solutions Ltd,,,,,,$41.16 M,,
,,GROW,Schroder Real Return (Managed Fund),,,,,,$40.96 M,,
,,IIND,Betashares India Quality ETF,,,,,,$40.84 M,,
,,K2F,K2FLY Ltd,,,,,,$40.82 M,,
-,,CLE,Cyclone Metals Ltd,,,,,,$40.79 M,,
,,IHEB,Ishares J.P. Morgan Usd Emerging Markets (Aud Hedged) ETF,,,,,,$40.74 M,,
,,SKY,SKY Metals Ltd,,,,,,$40.7 M,,
-,,VXR,Venturex Resources Ltd,,,,,,$40.68 M,,
-,,HIL,Hills Ltd,,,,,,$40.6 M,,
,,CVV,Caravel Minerals Ltd,,,,,,$40.59 M,,
,,MYG,Mayfield Group Holdings Ltd,,,,,,$40.55 M,,
-,,FFR,Firefly Resources Ltd,,,,,,$40.47 M,,
,,XTE,Xtek Ltd,,,,,,$40.38 M,,
,,CCA,Change Financial Ltd,,,,,,$40.28 M,,
,,AUST,Betashares Managed Risk Australian Share Fund (Managed Fund),,,,,,$40.04 M,,
,,PFT,Pure Foods Tasmania Ltd,,,,,,$40 M,,
,,AVE,Avecho Biotechnology Ltd,,,,,,$39.97 M,,
,,TRU,Truscreen Group Ltd,,,,,,$39.92 M,,
,,HLTH,Vaneck Vectors Global Healthcare Leaders ETF,,,,,,$39.9 M,,
,,IVZ,Invictus Energy Ltd,,,,,,$39.85 M,,
-,,EQX,Equatorial Resources Ltd,,,,,,$39.82 M,,
-,,C6C,Copper Mountain Mining Corporation,,,,,,$39.4 M,,
,,1AD,Adalta Ltd,,,,,,$39.23 M,,
,,KAU,Kaiser Reef Ltd,,,,,,$39.21 M,,
,,VKA,Viking Mines Ltd,,,,,,$39.14 M,,
,,VYS,Vysarn Ltd,,,,,,$39.07 M,,
,,ELT,Elementos Ltd,,,,,,$39.07 M,,
,,MOQ,MOQ Ltd,,,,,,$39.04 M,,
,,AJX,Alexium International Group Ltd,,,,,,$39.02 M,,
-,,CD1,CD Private Equity Fund I,,,,,,$39.01 M,,
-,,HYD,HYDRIX Ltd,,,,,,$39.01 M,,
-,,CGA,Contango Asset Management Ltd,,,,,,$38.94 M,,
,,ONE,Oneview Healthcare Plc,,,,,,$38.47 M,,
,,DRE,Dreadnought Resources Ltd,,,,,,$38.45 M,,
,,HEUR,Betashares Europe ETF-Currency Hedged,,,,,,$38.41 M,,
,,CLH,Collection House Ltd,,,,,,$38.33 M,,
,,OSX,Osteopore Ltd,,,,,,$38.24 M,,
-,,EBG,Eumundi Group Ltd,,,,,,$38.22 M,,
,,DKM,Duketon Mining Ltd,,,,,,$38.15 M,,
,,CI1,Credit Intelligence Ltd,,,,,,$37.95 M,,
,,QFN,Betashares Australian Financials Sector ETF,,,,,,$37.94 M,,
-,,ARE,Argonaut Resources NL,,,,,,$37.87 M,,
-,,ASW,Advanced Share Registry Ltd,,,,,,$37.82 M,,
,,BHL,Boyuan Holdings Ltd,,,,,,$37.74 M,,
,,CBL,Control Bionics Ltd,,,,,,$37.71 M,,
-,,CAF,Centrepoint Alliance Ltd,,,,,,$37.51 M,,
-,,RES,Resource Generation Ltd,,,,,,$37.21 M,,
-,,CZR,CZR Resources Ltd,,,,,,$37.09 M,,
-,,MAY,Melbana Energy Ltd,,,,,,$37.07 M,,
,,XST,Xstate Resources Ltd,,,,,,$36.97 M,,
,,MNB,Minbos Resources Ltd,,,,,,$36.97 M,,
,,GSN,Great Southern Mining Ltd,,,,,,$36.86 M,,
,,TTB,Total Brain Ltd,,,,,,$36.82 M,,
-,,PRO,Prophecy International Holdings Ltd,,,,,,$36.81 M,,
,,BNKS,Betashares Global Banks ETF - Currency Hedged,,,,,,$36.79 M,,
-,,FLX,FELIX Group Holdings Ltd,,,,,,$36.76 M,,
-,,GME,GME Resources Ltd,,,,,,$36.75 M,,
-,,SKN,Skin Elements Ltd,,,,,,$36.75 M,,
,,EME,Energy Metals Ltd,,,,,,$36.69 M,,
-,,VPR,Volt Power Group Ltd,,,,,,$36.68 M,,
,,S66,Star Combo Pharma Ltd,,,,,,$36.37 M,,
,,FSG,Field Solutions Holdings Ltd,,,,,,$36.29 M,,
,,ODY,Odyssey Gold Ltd,,,,,,$36.2 M,,
-,,AIQ,Alternative Investment Trust,,,,,,$36.2 M,,
-,,CIW,Clime Investment Management Ltd,,,,,,$36.17 M,,
-,,AQI,Alicanto Minerals Ltd,,,,,,$35.96 M,,
,,CPN,Caspin Resources Ltd,,,,,,$35.74 M,,
,,RLE,Real Energy Corporation Ltd,,,,,,$35.74 M,,
-,,HT8,Harris Technology Group Ltd,,,,,,$35.7 M,,
,,OAR,OAR Resources Ltd,,,,,,$35.62 M,,
,,VEN,Vintage Energy Ltd,,,,,,$35.62 M,,
,,WLD,Wellard Ltd,,,,,,$35.59 M,,
,,YRL,Yandal Resources Ltd,,,,,,$35.51 M,,
,,AL3,AML3D Ltd,,,,,,$35.49 M,,
,,PG1,Pearl Global Ltd,,,,,,$35.34 M,,
-,,RCP,Redbank Copper Ltd,,,,,,$35.27 M,,
,,AMG,Ausmex Mining Group Ltd,,,,,,$35.19 M,,
,,BEX,Bikeexchange Ltd,,,,,,$35.11 M,,
,,8CO,8COMMON Ltd,,,,,,$35.07 M,,
-,,PXS,Pharmaxis Ltd,,,,,,$34.95 M,,
-,,XAM,Xanadu Mines Ltd,,,,,,$34.94 M,,
,,AQX,Alice QUEEN Ltd,,,,,,$34.93 M,,
-,,TD1,Tali Digital Ltd,,,,,,$34.91 M,,
-,,MPO,Molopo Energy Ltd,,,,,,$34.87 M,,
,,KAT,Katana Capital Ltd,,,,,,$34.72 M,,
-,,IVQ,Invitrocue Ltd,,,,,,$34.71 M,,
,,RPM,RPM Automotive Group Ltd,,,,,,$34.55 M,,
,,MHC,Manhattan Corporation Ltd,,,,,,$34.48 M,,
,,AWV,Anova Metals Ltd,,,,,,$34.39 M,,
-,,IGE,Integrated Green Energy Solutions Ltd,,,,,,$34.33 M,,
,,KRM,Kingsrose Mining Ltd,,,,,,$34.31 M,,
,,ERM,Emmerson Resources Ltd,,,,,,$34.28 M,,
,,GC1,Glennon Small Companies Ltd,,,,,,$34.18 M,,
-,,TOU,Tlou Energy Ltd,,,,,,$34.14 M,,
-,,OSP,Osprey Medical Inc,,,,,,$34.09 M,,
,,OVN,Oventus Medical Ltd,,,,,,$34.03 M,,
-,,VMC,Venus Metals Corporation Ltd,,,,,,$33.99 M,,
,,CST,Castile Resources Ltd,,,,,,$33.95 M,,
,,ACW,Actinogen Medical Ltd,,,,,,$33.86 M,,
,,ZNC,Zenith Minerals Ltd,,,,,,$33.85 M,,
,,IPT,Impact Minerals Ltd,,,,,,$33.84 M,,
-,,LKO,Lakes Oil NL,,,,,,$33.68 M,,
-,,LRT,Lowell Resources Fund,,,,,,$33.52 M,,
,,GMN,Gold Mountain Ltd,,,,,,$33.47 M,,
,,AMT,Allegra Orthopaedics Ltd,,,,,,$33.43 M,,
,,PAA,Pharmaust Ltd,,,,,,$33.26 M,,
,,AME,Alto Metals Ltd,,,,,,$33.16 M,,
-,,MCT,Metalicity Ltd,,,,,,$33.14 M,,
,,GTE,Great Western Exploration Ltd,,,,,,$33.12 M,,
-,,AGE,Alligator Energy Ltd,,,,,,$32.99 M,,
,,PWN,Parkway Minerals NL,,,,,,$32.94 M,,
,,BUY,Bounty Oil & Gas NL,,,,,,$32.89 M,,
,,CTO,Citigold Corporation Ltd,,,,,,$32.65 M,,
,,MR1,Montem Resources Ltd,,,,,,$32.61 M,,
-,,MPX,Mustera Property Group Ltd,,,,,,$32.54 M,,
,,NTI,Neurotech International Ltd,,,,,,$32.54 M,,
,,SNG,Siren Gold Ltd,,,,,,$32.53 M,,
-,,PNC,Pioneer Credit Ltd,,,,,,$32.52 M,,
,,ARR,American Rare EARTHS Ltd,,,,,,$32.49 M,,
,,ACB,A-Cap Energy Ltd,,,,,,$32.26 M,,
-,,MDI,Middle Island Resources Ltd,,,,,,$32.25 M,,
,,MMJ,MMJ Group Holdings Ltd,,,,,,$32.19 M,,
,,INP,Incentiapay Ltd,,,,,,$31.7 M,,
,,EPM,Eclipse Metals Ltd,,,,,,$31.68 M,,
,,CLT,Cellnet Group Ltd,,,,,,$31.67 M,,
-,,SMG,Soon Mining Ltd,,,,,,$31.64 M,,
,,FRX,Flexiroam Ltd,,,,,,$31.54 M,,
,,RGS,Regeneus Ltd,,,,,,$31.53 M,,
,,CAD,Caeneus Minerals Ltd,,,,,,$31.51 M,,
,,VMX,Valmec Ltd,,,,,,$31.46 M,,
,,9SP,9 Spokes International Ltd,,,,,,$31.36 M,,
,,AHC,Austco Healthcare Ltd,,,,,,$31.26 M,,
-,,CG1,Carbonxt Group Ltd,,,,,,$31.2 M,,
-,,BSR,Bassari Resources Ltd,,,,,,$31.04 M,,
,,NAG,Nagambie Resources Ltd,,,,,,$31 M,,
,,MFD,Mayfield Childcare Ltd,,,,,,$30.98 M,,
,,IP1,Integrated Payment Technologies Ltd,,,,,,$30.96 M,,
,,HVM,Happy Valley Nutrition Ltd,,,,,,$30.87 M,,
,,AVR,Anteris Technologies Ltd,,,,,,$30.87 M,,
,,YBR,Yellow Brick Road Holdings Ltd,,,,,,$30.81 M,,
-,,AFL,Af Legal Group Ltd,,,,,,$30.76 M,,
-,,EVE,EVE Investments Ltd,,,,,,$30.75 M,,
-,,BYI,Beyond International Ltd,,,,,,$30.67 M,,
,,HGO,Hillgrove Resources Ltd,,,,,,$30.49 M,,
-,,RNO,Rhinomed Ltd,,,,,,$30.46 M,,
,,ECS,ECS Botanics Holdings Ltd,,,,,,$30.45 M,,
-,,NWE,Norwest Energy NL,,,,,,$30.44 M,,
-,,VRS,Veris Ltd,,,,,,$30.41 M,,
,,AL8,Alderan Resources Ltd,,,,,,$30.39 M,,
-,,LBT,LBT Innovations Ltd,,,,,,$30.36 M,,
,,AXI,Axiom Properties Ltd,,,,,,$30.29 M,,
,,WAK,Wa Kaolin Ltd,,,,,,$30.25 M,,
,,AD1,AD1 Holdings Ltd,,,,,,$30.22 M,,
-,,AIV,Activex Ltd,,,,,,$30.11 M,,
-,,HAW,Hawthorn Resources Ltd,,,,,,$30.02 M,,
,,AJL,AJ Lucas Group Ltd,,,,,,$29.91 M,,
,,FOD,The Food Revolution Group Ltd,,,,,,$29.86 M,,
-,,EINC,Betashares Legg Mason Equity Income Fund (Managed Fund),,,,,,$29.83 M,,
,,LMG,Latrobe Magnesium Ltd,,,,,,$29.82 M,,
,,MGU,Magnum Mining and Exploration Ltd,,,,,,$29.61 M,,
,,CNW,Cirrus Networks Holdings Ltd,,,,,,$29.6 M,,
-,,SRJ,SRJ Technologies Group Plc,,,,,,$29.6 M,,
,,SUP,Superior Lake Resources Ltd,,,,,,$29.58 M,,
-,,JAT,Jatcorp Ltd,,,,,,$29.4 M,,
,,DAV,Davenport Resources Ltd,,,,,,$29.4 M,,
-,,MIL,Millennium Services Group Ltd,,,,,,$29.39 M,,
,,FEL,Fe Ltd,,,,,,$29.34 M,,
-,,PNX,PNX Metals Ltd,,,,,,$29.22 M,,
,,SI6,SI6 Metals Ltd,,,,,,$29.21 M,,
,,DVDY,Vaneck Vectors Morningstar Australian Moat Income ETF,,,,,,$29.21 M,,
,,ATX,Amplia Therapeutics Ltd,,,,,,$29.08 M,,
,,CCG,Comms Group Ltd,,,,,,$28.93 M,,
-,,OLL,Openlearning Ltd,,,,,,$28.89 M,,
,,ICG,Inca Minerals Ltd,,,,,,$28.87 M,,
-,,KNO,Knosys Ltd,,,,,,$28.83 M,,
-,,STM,Sunstone Metals Ltd,,,,,,$28.73 M,,
,,GOVT,SPDR S&P/ASX Australian Government Bond Fund,,,,,,$28.32 M,,
,,SRN,Surefire Resources NL,,,,,,$28.31 M,,
,,CNJ,Conico Ltd,,,,,,$28.29 M,,
-,,CNB,Carnaby Resources Ltd,,,,,,$28.28 M,,
,,NYR,Nyrada Inc,,,,,,$28.25 M,,
-,,PTR,Petratherm Ltd,,,,,,$28.25 M,,
,,RDM,Red Metal Ltd,,,,,,$28.24 M,,
-,,ATR,Astron Corporation Ltd,,,,,,$28.17 M,,
-,,BSM,Bass Metals Ltd,,,,,,$28.15 M,,
-,,LAW,Lawfinance Ltd,,,,,,$28.09 M,,
,,ACS,Accent Resources NL,,,,,,$27.96 M,,
-,,GBE,Globe Metals & Mining Ltd,,,,,,$27.96 M,,
-,,KLO,Kingsland Global Ltd,,,,,,$27.95 M,,
-,,BEM,Blackearth Minerals NL,,,,,,$27.83 M,,
,,CETF,Vaneck Vectors Ftse China A50 ETF,,,,,,$27.82 M,,
,,GMR,Golden Rim Resources Ltd,,,,,,$27.79 M,,
,,INES,Intelligent Investor Ethical Share Fund (Managed Fund),,,,,,$27.74 M,,
-,,AUK,Aumake Ltd,,,,,,$27.72 M,,
-,,TIA,Tian An Australia Ltd,,,,,,$27.71 M,,
-,,MEY,Marenica Energy Ltd,,,,,,$27.62 M,,
,,SSO,SPDR S&P/ASX Small Ordinaries Fund,,,,,,$27.55 M,,
-,,IBG,Ironbark ZINC Ltd,,,,,,$27.54 M,,
,,BPP,Babylon Pump & Power Ltd,,,,,,$27.53 M,,
,,YTMDO1,Equity Trustees Ltd,,,,,,$27.53 M,,
,,MAN,Mandrake Resources Ltd,,,,,,$27.49 M,,
-,,JAL,Jameson Resources Ltd,,,,,,$27.3 M,,
,,TNR,Torian Resources Ltd,,,,,,$27.29 M,,
-,,ORM,Orion Metals Ltd,,,,,,$27.25 M,,
-,,GMC,Gulf Manganese Corporation Ltd,,,,,,$27.02 M,,
,,MKG,Mako Gold Ltd,,,,,,$27.01 M,,
,,AUMF,Ishares Edge MSCI Australia Multifactor ETF,,,,,,$27.01 M,,
,,CGN,Crater Gold Mining Ltd,,,,,,$27 M,,
,,ISD,Isentia Group Ltd,,,,,,$27 M,,
,,ECP,ECP Emerging Growth Ltd,,,,,,$26.93 M,,
,,APH,Australian Primary Hemp Ltd,,,,,,$26.92 M,,
,,KWR,Kingwest Resources Ltd,,,,,,$26.9 M,,
,,NXM,Nexus Minerals Ltd,,,,,,$26.86 M,,
,,MAT,Matsa Resources Ltd,,,,,,$26.84 M,,
-,,TPD,Talon Petroleum Ltd,,,,,,$26.76 M,,
,,A3D,Aurora Labs Ltd,,,,,,$26.76 M,,
,,AGR,Aguia Resources Ltd,,,,,,$26.66 M,,
,,LPGD,Loftus Peak Global Disruption Fund (Managed Fund),,,,,,$26.64 M,,
,,LCD,Latitude Consolidated Ltd,,,,,,$26.51 M,,
-,,AGM,Australian Governance & Ethical INDEX Fund,,,,,,$26.47 M,,
,,HSC,HSC Technology Group Ltd,,,,,,$26.41 M,,
,,MAG,Magmatic Resources Ltd,,,,,,$26.31 M,,
-,,RWD,Reward Minerals Ltd,,,,,,$26.25 M,,
,,VETH,Vanguard Ethically Conscious Australian Shares ETF,,,,,,$26.24 M,,
,,EIGA,Einvest Income Generator Fund (Managed Fund),,,,,,$26.16 M,,
-,,ASO,Aston Minerals Ltd,,,,,,$26.15 M,,
-,,UCM,Uscom Ltd,,,,,,$26.14 M,,
,,ASQ,Australian Silica Quartz Group Ltd,,,,,,$26 M,,
-,,LSA,Lachlan Star Ltd,,,,,,$25.99 M,,
-,,PNL,Paringa Resources Ltd,,,,,,$25.94 M,,
,,MVL,Marvel Gold Ltd,,,,,,$25.94 M,,
-,,EMB,Embelton Ltd,,,,,,$25.89 M,,
-,,VEC,Vector Resources Ltd,,,,,,$25.66 M,,
-,,AHF,Australian Dairy Nutritionals Group,,,,,,$25.63 M,,
,,CWX,Carawine Resources Ltd,,,,,,$25.59 M,,
-,,MCM,MC Mining Ltd,,,,,,$25.48 M,,
-,,EQE,EQUUS Mining Ltd,,,,,,$25.45 M,,
-,,PPL,Pureprofile Ltd,,,,,,$25.39 M,,
-,,BMH,Baumart Holdings Ltd,,,,,,$25.33 M,,
-,,SW1,Swift Media Ltd,,,,,,$25.3 M,,
-,,CLI,Croplogic Ltd,,,,,,$25.12 M,,
-,,ODA,Orcoda Ltd,,,,,,$25.02 M,,
,,HXG,Hexagon Energy Materials Ltd,,,,,,$25 M,,
,,BWF,Blackwall Ltd,,,,,,$24.94 M,,
-,,MTC,Metalstech Ltd,,,,,,$24.92 M,,
,,EGY,Energy Technologies Ltd,,,,,,$24.8 M,,
-,,LNG,Liquefied Natural Gas Ltd,,,,,,$24.8 M,,
,,4CE,Force Commodities Ltd,,,,,,$24.65 M,,
-,,LEX,Lefroy Exploration Ltd,,,,,,$24.6 M,,
-,,VOR,Vortiv Ltd,,,,,,$24.59 M,,
,,SE1,Sensera Ltd,,,,,,$24.58 M,,
,,VOL,Victory Offices Ltd,,,,,,$24.54 M,,
,,BTR,Brightstar Resources Ltd,,,,,,$24.4 M,,
,,PRX,Prodigy Gold NL,,,,,,$24.39 M,,
,,QMIX,SPDR MSCI World Quality MIX Fund,,,,,,$24.31 M,,
,,CE1,Calima Energy Ltd,,,,,,$24.28 M,,
,,PUR,Pursuit Minerals Ltd,,,,,,$24.27 M,,
,,BNZ,BENZ Mining Corp,,,,,,$24.27 M,,
,,SHN,Sunshine Gold Ltd,,,,,,$24.26 M,,
-,,FOOD,Betashares Global Agriculture ETF - Currency Hedged,,,,,,$24.16 M,,
,,CCE,Carnegie Clean Energy Ltd,,,,,,$24.12 M,,
-,,ESS,Essential Metals Ltd,,,,,,$24.1 M,,
,,JDR,Jadar Resources Ltd,,,,,,$24.09 M,,
-,,HRR,Heron Resources Ltd,,,,,,$24.01 M,,
,,NCL,Netccentric Ltd,,,,,,$23.89 M,,
-,,WWG,Wiseway Group Ltd,,,,,,$23.85 M,,
,,PXX,Polarx Ltd,,,,,,$23.84 M,,
-,,BCT,Bluechiip Ltd,,,,,,$23.72 M,,
-,,SCL,Schrole Group Ltd,,,,,,$23.57 M,,
,,KYK,KYCKR Ltd,,,,,,$23.38 M,,
,,HNG,HGL Ltd,,,,,,$23.37 M,,
-,,MBM,Mobecom Ltd,,,,,,$23.37 M,,
,,2BE,Tubi Ltd,,,,,,$23.35 M,,
,,RLT,Renergen Ltd,,,,,,$23.34 M,,
-,,TSL,Titanium Sands Ltd,,,,,,$23.31 M,,
,,JXT,Jaxsta Ltd,,,,,,$23.24 M,,
-,,EFF,Evans & Partners Australian Flagship Fund,,,,,,$23.22 M,,
,,SPA,Spacetalk Ltd,,,,,,$23.15 M,,
,,BMG,BMG Resources Ltd,,,,,,$23.04 M,,
,,SXA,Strata-X Energy Ltd,,,,,,$22.98 M,,
,,UCW,UCW Ltd,,,,,,$22.92 M,,
-,,WEMG,SPDR S&P Emerging Markets Fund,,,,,,$22.87 M,,
-,,AGX1,Antipodes Global Shares (Quoted Managed Fund),,,,,,$22.87 M,,
-,,TAR,Taruga Minerals Ltd,,,,,,$22.86 M,,
-,,RHI,Red Hill Iron Ltd,,,,,,$22.75 M,,
,,RDN,Raiden Resources Ltd,,,,,,$22.74 M,,
,,MOB,Mobilicom Ltd,,,,,,$22.7 M,,
,,CYM,Cyprium Metals Ltd,,,,,,$22.67 M,,
-,,MAUCA,Magnetic Resources NL,,,,,,$22.66 M,,
-,,LNY,Laneway Resources Ltd,,,,,,$22.65 M,,
,,AS1,Angel Seafood Holdings Ltd,,,,,,$22.55 M,,
,,SVA,Simavita Ltd,,,,,,$22.28 M,,
,,TRT,Todd River Resources Ltd,,,,,,$22.24 M,,
-,,SBW,Shekel Brainweigh Ltd,,,,,,$22.21 M,,
,,ONX,Orminex Ltd,,,,,,$22.12 M,,
-,,PVE,Po Valley Energy Ltd,,,,,,$22.01 M,,
-,,A1M,Aic Mines Ltd,,,,,,$21.99 M,,
